protocol,policy,seed,step,expected_level,reward,cumulative_reward,successful_event,cumulative_complexity,cumulative_exponential_complexity,complexity_unique,task_level_max,inventory,health,hunger
controlled,idle,1,0,0,0.003000000026077032,0.003000000026077032,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,1,1,0,0.003000000026077032,0.006000000052154064,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,1,2,0,0.003000000026077032,0.009000000078231096,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,1,3,0,0.003000000026077032,0.012000000104308128,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,1,4,0,0.003000000026077032,0.01500000013038516,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,1,5,0,0.003000000026077032,0.018000000156462193,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,1,6,0,0.003000000026077032,0.021000000182539225,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,1,7,0,0.003000000026077032,0.024000000208616257,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,2,0,0,0.003000000026077032,0.003000000026077032,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
controlled,idle,2,1,0,0.003000000026077032,0.006000000052154064,,0.0,0.0,0.0,0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0], [0, 0, 0, 0, 0, 0, 0, 0, 0]]","[20, 20, 20]","[20, 20, 20]"
